date, pm25, pm10, o3, no2, so2, co
2021/4/1, 173, 1, , , , 
2021/4/2, 140, , , , , 
2021/4/3, 105, , , , , 
2021/4/4, 96, , , , , 
2021/4/5, 90, , , , , 
2021/4/6, 88, , , , , 
2021/4/7, 97, , , , , 
2021/4/8, 134, , , , , 
2021/4/9, 107, , , , , 
2021/4/10, 65, , , , , 
2021/4/11, 74, , , , , 
2021/4/12, 80, , , , , 
2021/4/13, 120, , , , , 
2021/4/14, 99, , , , , 
2021/4/15, 81, , , , , 
2021/4/16, 96, , , , , 
2021/4/17, 79, , , , , 
2021/4/18, 69, , , , , 
2021/4/19, 85, , , , , 
2021/4/20, 71, , , , , 
2021/4/21, 89, , , , , 
2021/4/22, 108, , , , , 
2021/4/23, 108, , , , , 
2021/4/24, 122, , , , , 
2021/4/25, 125, , , , , 
2021/4/26, 129, , , , , 
2021/4/27, 40, , , , , 
2021/4/28, 62, , , , , 
2021/4/29, 45, , , , , 
2021/4/30, 51, , , , , 
2021/5/1, 65, , , , , 
2021/5/2, 73, , , , , 
2021/5/3, 75, , , , , 
2021/5/4, 95, , , , , 
2021/5/5, 71, , , , , 
2021/5/6, 71, , , , , 
2021/5/7, 84, , , , , 
2021/5/8, 101, , , , , 
2021/5/9, 98, , , , , 
2021/5/10, 111, 29, , , , 
2021/5/11, 94, 36, , , , 
2021/5/12, 118, 33, , , , 
2021/5/13, 102, 32, , , , 
2021/5/14, 109, 31, , , , 
2021/5/15, 116, 28, , , , 
2021/5/16, 99, 36, , , , 
2021/5/17, 119, 33, , , , 
2021/5/18, 105, 39, , , , 
2021/5/19, 127, 38, , , , 
2021/5/20, 138, 37, , , , 
2021/6/1, 69, 32, , , , 
2021/6/2, 57, 35, , , , 
2021/6/3, 61, 33, , , , 
2021/6/4, 57, 28, , , , 
2021/6/5, 51, 25, , , , 
2021/6/6, 48, 22, , , , 
2021/6/7, 35, 21, , , , 
2021/6/8, 33, 19, , , , 
2021/6/9, 25, 18, , , , 
2021/6/10, 24, 22, , , , 
2021/6/11, 31, 17, , , , 
2021/6/12, 21, 18, , , , 
2021/6/13, 26, 24, , , , 
2021/6/14, 37, 23, , , , 
2021/6/15, 33, 21, , , , 
2021/6/16, 29, 24, , , , 
2021/6/17, 32, 22, , , , 
2021/6/18, 34, 27, , , , 
2021/6/19, 48, 32, , , , 
2021/6/20, 53, 38, , , , 
2021/6/21, 60, 49, , , , 
2021/6/22, 75, 40, , , , 
2021/6/23, 66, 27, , , , 
2021/6/24, 43, , , , , 
2021/1/4, 68, , 23, , , 
2021/1/5, 70, , 25, , , 
2021/1/6, 56, 58, 23, , , 
2021/1/7, 66, 29, 23, , , 
2021/1/8, 51, 24, 22, , , 
2021/1/9, 52, 26, 22, , , 
2021/1/10, 56, 44, 23, , , 
2021/1/11, 71, 53, 24, , , 
2021/1/12, 79, 60, 28, , 1, 
2021/1/13, 90, 60, 28, , , 
2021/1/14, 95, 53, 23, , , 
2021/1/15, 82, 41, 20, , , 
2021/1/16, 68, 45, 27, , , 
2021/1/17, 68, 54, 28, , , 
2021/1/18, 86, 57, 28, , , 
2021/1/19, 95, 60, 28, , , 
2021/1/20, 95, 61, 25, , 5, 
2021/1/21, 97, 58, 22, , , 
2021/1/22, 95, 47, 24, , , 
2021/1/23, 97, 59, 28, , , 
2021/1/24, 116, 67, 28, , , 
2021/1/25, 126, 47, 23, , , 
2021/1/26, 86, 42, 21, , 9, 
2021/1/27, 81, 34, 20, , 114, 
2021/1/28, 66, 40, 26, , , 
2021/1/29, 76, 47, 28, , , 
2021/1/30, 99, 33, 22, , , 
2021/1/31, 63, 32, 20, , , 
2021/2/1, 53, 42, 16, , , 
2021/2/2, 65, 40, 19, , , 
2021/2/3, 64, 39, 19, , , 
2021/2/4, 64, 38, 20, , , 
2021/2/5, 68, 41, 21, , , 
2021/2/6, 76, 40, 21, , , 
2021/2/7, 86, 36, 15, , , 
2021/2/8, 57, 17, 11, , , 
